ID,Longitud (m),Tiempo (s),g_calculado (m/s²),Planeta más probable,2do más probable
deacbb0b-b74b-4ab5-a73c-6f3cb2554f5b,1.43,0.53,10.18,Tierra,Saturno
94e2cab6-59a8-4bfa-bb69-518daa59ac2d,1.55,0.41,18.44,Tierra,Saturno
5f118d7e-8ecf-4337-a7d3-6731f411a816,1.45,0.49,12.08,Tierra,Saturno
4ce74d66-ea3a-4c84-9d73-e9c4a395312d,2.29,0.41,27.25,Tierra,Saturno
04f3b3aa-e301-40ac-923a-9513f0f38280,0.82,0.41,9.76,Tierra,Saturno
b1cbc992-ef1a-40e9-8909-fa3830f9e217,1.76,0.44,18.18,Tierra,Saturno
15bcfdb8-166c-490b-81ae-b3b45a7bbce3,2.18,0.46,20.6,Tierra,Saturno
577b0021-a19c-4822-ae35-9b87cd876fba,1.76,0.56,11.22,Tierra,Saturno
31f9f3c6-11e0-414c-89a0-9595e9a192cd,1.08,0.4,13.5,Tierra,Saturno
bcdeac80-3dac-46c6-a5c9-4d987d1f0fef,0.91,0.55,6.02,Saturno,Tierra
9198f6c2-80c4-4778-820c-5c49c11f241a,2.22,0.65,10.51,Tierra,Saturno
18748b0d-2fbd-4f3c-b517-0dd08dac719f,2.28,0.56,14.54,Tierra,Saturno
6fc916c7-efbe-404d-89e1-29f151debdb2,0.89,0.53,6.34,Saturno,Tierra
3fd7ee8c-0a6c-4f1c-a04d-9365705b7e14,1.74,0.49,14.49,Tierra,Saturno
2c69271a-a7ed-40e9-b17f-a0e79fc3d871,1.35,0.5,10.8,Tierra,Saturno
33a085a6-bbb3-4105-8d0a-a47769b52f54,1.65,0.64,8.06,Saturno,Tierra
b2540628-9721-46b9-ae73-b0690fcb293a,2.08,0.41,24.75,Tierra,Saturno
c4669a48-a79d-4d72-9891-307f1300e01e,1.43,0.63,7.21,Saturno,Tierra
12fda3ff-201b-4de4-ab9f-973329bf2fb0,2.41,0.46,22.78,Tierra,Saturno
4e272752-6b2c-4627-ae26-1dac3b988c18,1.25,0.42,14.17,Tierra,Saturno
5c3394e1-0828-490d-b16c-a37505530c3a,2.28,0.44,23.55,Tierra,Saturno
9711c413-bcf5-46d9-bacf-ded71eb7a4e3,1.4,0.5,11.2,Tierra,Saturno
3d31a73c-9d84-4cdb-ac16-4285053b89b3,1.08,0.61,5.8,Saturno,Tierra
95807cb9-487d-4f36-8d9c-b33132c7016c,1.02,0.53,7.26,Saturno,Tierra
4a6e73fb-a4fa-4557-95ab-8ab7375fc1e4,1.67,0.42,18.93,Tierra,Saturno
62b068fe-5b8f-46ec-ae9c-4cc2fcb309b9,0.81,0.68,3.5,Saturno,Tierra
cb4a8254-6a5e-47a0-9270-685a67564e6d,0.94,0.44,9.71,Tierra,Saturno
4c3e8440-f276-4c3a-9cb5-63dbf4b877c7,2.4,0.45,23.7,Tierra,Saturno
93b911a3-2e1a-4fe0-83bd-26a951df340f,2.33,0.41,27.72,Tierra,Saturno
57dd0dbc-adc7-4bc7-abb6-06c6b224de34,2.07,0.63,10.43,Tierra,Saturno
144339c8-1a55-4bc5-8683-10655fcd3292,1.5,0.69,6.3,Saturno,Tierra
16f03d94-9d4c-469b-8783-286a37c7c088,1.29,0.63,6.5,Saturno,Tierra
81d026e5-8202-4c14-b566-4d6f5f38069e,2.43,0.6,13.5,Tierra,Saturno
cf521dd4-57d3-4d25-b54e-a27d41e1b39b,1.9,0.5,15.2,Tierra,Saturno
872a8bff-19ee-47c0-b93a-8db9fb206322,1.54,0.4,19.25,Tierra,Saturno
e7f1c0cf-eb96-49e8-81f4-9796ecf2d337,2.19,0.55,14.48,Tierra,Saturno
170a3ded-6376-437b-b8e7-cd4cfa396bf6,1.13,0.41,13.44,Tierra,Saturno
7f9a0b75-74d3-46bf-8125-fa0c61fea4ff,1.72,0.46,16.26,Tierra,Saturno
90d39876-f1fd-4b3c-a8c3-3521e23597f4,2.48,0.55,16.4,Tierra,Saturno
ffdb1d24-eceb-4e1a-b195-f2d58842b3ba,1.44,0.46,13.61,Tierra,Saturno
844cc09d-af54-4b3e-a07f-4981fe0bebc4,1.34,0.49,11.16,Tierra,Saturno
840d111c-1b83-4514-9c2e-b53efd5febc4,1.97,0.43,21.31,Tierra,Saturno
6aa9602e-55e7-46cc-877d-02569000cf8e,2.32,0.49,19.33,Tierra,Saturno
8375a74a-0375-469d-baf0-f01ce4f500d7,1.13,0.63,5.69,Saturno,Tierra
247b079d-95d7-460e-8c9b-ed43514c89bc,0.91,0.52,6.73,Saturno,Tierra
9a6f5fcb-dfb7-4ef7-a386-f3330eae079e,1.23,0.68,5.32,Saturno,Tierra
44fa0152-59b7-4e87-ae97-d3d27f400b2d,2.17,0.66,9.96,Tierra,Saturno
b13702a9-31b8-4a03-b7ea-4dbf3598520e,1.11,0.46,10.49,Tierra,Saturno
62e57a71-4744-48bd-870c-81966a1dd1e2,1.04,0.41,12.37,Tierra,Saturno
ba4ad1f7-2964-47b5-be40-34a9dc4aa0e9,2.48,0.63,12.5,Tierra,Saturno
57b5e080-c75a-4df6-b096-b68497806d73,1.91,0.61,10.27,Tierra,Saturno
cc8e7f4f-56a4-404d-a0e9-150e52273ebb,2.37,0.53,16.87,Tierra,Saturno
bf714a41-4d38-4bf5-996d-222f8f9b6f83,1.42,0.68,6.14,Saturno,Tierra
5723c208-fa6e-41f7-9b27-afe1adef0800,2.26,0.6,12.56,Tierra,Saturno
344799a0-882a-41a9-a053-2d234d8afd7a,1.92,0.48,16.67,Tierra,Saturno
cbc21e44-7e06-4b77-ab24-a1b9e3f1d291,2.34,0.51,17.99,Tierra,Saturno
356106d2-9c99-4e5b-893d-559153f93ffe,2.06,0.5,16.48,Tierra,Saturno
da28fb95-7113-490a-9a26-4d080d2bb0b3,0.86,0.43,9.3,Saturno,Tierra
000e9650-4db0-4a2e-8755-a09b70d40dec,1.56,0.49,12.99,Tierra,Saturno
f9c610ba-28ea-4a32-992e-929f51b9203a,2.0,0.53,14.24,Tierra,Saturno
4ee7dc3b-f2c4-46f1-a4fe-c3b2dbdcf024,1.63,0.5,13.04,Tierra,Saturno
